Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
Basilica of Santa Croce,Basilica of Santa Croce (Florence),Place,[Validation] 佛罗伦萨教堂。,Validation,0.81,
Basilica of Santa Maria Novella,Basilica of Santa Maria Novella,Place,[Validation] 佛罗伦萨教堂。,Validation,1.0,
Basilica of the Holy Trinity,Basilica of the Holy Trinity,Place,[Validation] 教堂 (可能是 SS. Trinità)。,Validation,1.0,
Basilicas,Basilicas,Place,[Validation] 建筑类型。,Validation,1.0,
"Bassanino, Virgilio",Virgin by Bassanino,Work,"[Correction] 依据指令修正：原文 ""Virgilio Bassanino"" 极大概率为 ""Virgin by Bassanino"" (Jacopo Bassano作品) 的误读。",Correction,0.47,Low_Similarity; 
"Bassano, Jacopo",Jacopo Bassano,Person,[Reconstruction] 威尼斯画家。,Reconstruction,0.48,Low_Similarity; 
"Bassi, Francesco (il Cremonese)",Francesco Bassi (Il Cremonese),Person,[Category Fix] 原文误标为 Place。风景画家。,Category Fix,0.79,
Bathsheba,Bathsheba,Person,[Validation] 圣经人物。,Validation,1.0,
Batlisheba Bathing,Bathsheba Bathing,Work,"[OCR Fix] 修正 ""Batlisheba"" 为 ""Bathsheba""。",OCR Fix,0.91,
"Batoni, Pompeo",Pompeo Batoni,Person,[Reconstruction] 罗马肖像画家。,Reconstruction,0.44,Low_Similarity; 
Battaria di Cusina,Batteria di Cucina,Work,"[OCR Fix] 修正 ""Battaria"" 为 ""Batteria"" (Kitchen utensils/Still life)。",OCR Fix,0.89,
Battistela,Battistella,Person,[Category Fix] 原文误标为 Place。疑似人名 (Antonio Battistella)。,Category Fix,0.95,
Bavarian State Painting Collections,Bavarian State Painting Collections (Bayerische Staatsgemäldesammlungen),Organization,[Validation] 德国博物馆机构。,Validation,0.65,
Beata Vergine del Soccorso (Rovigo),Tempio della Beata Vergine del Soccorso,Place,[Validation] 罗维戈教堂 (La Rotonda)。,Validation,0.7,
Beatae Mariae Virginis Officium,Officium Beatae Mariae Virginis,Work,[Validation] 圣母日课 (手稿/书)。,Validation,0.71,
"Beccari, Dr",Beccari (Dr.),Person,[Validation] 可能是 Jacopo Bartolomeo Beccari (博洛尼亚科学院)。,Validation,0.83,
"Bedford, John, 4th Duke of","John Russell, 4th Duke of Bedford",Person,[Disambiguation] 英国贵族/赞助人。,Disambiguation,0.58,
Beggar holding a Rosary,Beggar holding a Rosary,Work,[Validation] 画作主题 (可能是Ceruti或Il Pitocchetto)。,Validation,1.0,
Bell Towers for St. Peter's Basilica (demolished),Bell Towers for St. Peter's Basilica,Work,[Validation] 贝尼尼设计的钟楼 (已拆除)。,Validation,0.85,
"Bellori, Gian Pietro",Giovanni Pietro Bellori,Person,[Reconstruction] 艺术理论家。,Reconstruction,0.33,Low_Similarity; 
"Bellucci, Giovanni Battista",Giovanni Battista Bellucci,Person,[Reconstruction] 建筑师/工程师 (16世纪) 或画家 (Antonio Bellucci相关?)。需区分。此处保留全名。,Reconstruction,0.64,
Belvoir Castle,Belvoir Castle,Place,[Validation] 英国城堡。,Validation,1.0,
"Bencovich, Federico",Federico Bencovich,Person,[Reconstruction] 达尔马提亚/威尼斯画家。,Reconstruction,0.49,Low_Similarity; 
Benedetto Castiglione,Giovanni Benedetto Castiglione,Person,[Disambiguation] 乔瓦尼·贝内代托·卡斯蒂廖内 (Il Grechetto)。,Disambiguation,0.82,
Benedetto Croce,Benedetto Croce,Person,[Validation] 哲学家 (后世引用)。,Validation,1.0,
Benedetto Gennari,Benedetto Gennari II,Person,[Disambiguation] 盖尔奇诺的外甥。,Disambiguation,0.92,
Benedetto Luti,Benedetto Luti,Person,[Validation] 罗马画家。,Validation,1.0,
Benedetto Menzini,Benedetto Menzini,Person,[Validation] 诗人。,Validation,1.0,
Benedict Nicolson,Benedict Nicolson,Person,[Validation] 艺术史学家。,Validation,1.0,
Benedictines,Benedictines,Group,[Validation] 本笃会。,Validation,1.0,
Benjamin Seebohm Rowntree,Seebohm Rowntree,Person,[Validation] 社会学家 (可能作为文献引用)。,Validation,0.78,
Beno?t Audran the Elder,Benoît Audran the Elder,Person,"[OCR Fix] 修正 ""?"" 为 ""î""。",OCR Fix,0.96,
Bensburg Castle,Bensberg Castle,Place,"[OCR Fix] 修正 ""Bensburg"" 为 ""Bensberg"" (Schloss Bensberg)。",OCR Fix,0.93,
"Bentivoglio, Ippotilo",Ippolito Bentivoglio,Person,"[OCR Fix] 修正 ""Ippotilo"" 为 ""Ippolito""。",OCR Fix,0.54,Low_Similarity; 
Bentvueghels,Bentvueghels,Group,[Category Fix] 原文误标为 Place。北方画家在罗马的社团。,Category Fix,1.0,
Benvenuto Cellini,Benvenuto Cellini,Person,[Validation] 雕塑家/金匠。,Validation,1.0,
Beretta,Beretta,Person,[Category Fix] 原文误标为 Place。可能是 Carlo Beretta (雕塑家) 或 generic surname。,Category Fix,1.0,
Bergamasque community,Bergamasque Community,Group,[Category Fix] 原文误标为 Place。贝加莫人群体。,Category Fix,1.0,
piazza della Signoria,Piazza della Signoria,Place,佛罗伦萨领主广场。,Unstructured,1.0,
protestant cemetery,Protestant Cemetery,Place,泛指（如罗马 Cimitero Acattolico 或威尼斯）。,Unstructured,1.0,
rue de Richelieu,Rue de Richelieu,Place,巴黎街道。,Unstructured,1.0,
senate,Senate,Organization,[Category Fix] 原文误标为 Place。参议院（威尼斯或罗马）。,Category Fix,1.0,
shrines,Shrines,Place,圣地/神龛（泛指）。,Unstructured,1.0,
"sketch for ""Venus at the furnace of Vulcan""",Sketch for Venus at the Forge of Vulcan,Work,[Category Fix] 提埃坡罗或 Boucher 的草图。,Category Fix,0.9,
state rooms,State Rooms,Place,国事厅（泛指宫殿内部）。,Unstructured,1.0,
temple of fortune,Temple of Fortuna,Place,命运女神庙（如 Palestrina）。,Unstructured,0.94,
una favola d'Enea,A Scene from the Aeneid,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。,Category Fix,0.3,Low_Similarity; 
via Balbi,Via Balbi,Place,热那亚街道（宫殿群所在地）。,Unstructured,1.0,
via Giuseppe Garibaldi,Via Garibaldi (Genoa),Place,热那亚“新街”（Strada Nuova）。,Unstructured,0.6,
谷glise SainteAnnelaRoyale,Église Sainte-Anne-la-Royale,Place,"[OCR Fix] ""谷"" -> ""É""。巴黎教堂（Theatines）。",OCR Fix,0.91,
谷mile Male,Émile Mâle,Person,"[OCR Fix] ""谷"" -> ""É"", ""Male"" -> ""Mâle""。著名的法国中世纪艺术史学家。",OCR Fix,0.8,
谷mile Molinier,Émile Molinier,Person,"[OCR Fix] ""谷"" -> ""É""。法国艺术史学家/策展人。",OCR Fix,0.93,
谷tienne Charles de Lom谷nie de Brienne,Étienne Charles de Loménie de Brienne,Person,"[OCR Fix] ""谷"" -> ""É"", ""Lom谷nie"" -> ""Loménie""。法国枢机/政治家。",OCR Fix,0.95,
谷tienne de Silhouette,Étienne de Silhouette,Person,"[OCR Fix] ""谷"" -> ""É""。法国财政大臣（剪影画 silhouette 词源）。",OCR Fix,0.95,
Bergamo Cathedral,Bergamo Cathedral,Place,[Validation] 贝加莫大教堂。,Validation,1.0,
Berlinghiero Gessi,Berlinghiero Gessi,Person,[Validation] 枢机主教。,Validation,1.0,
"Bermis, Cardinal de",François-Joachim de Pierre de Bernis,Person,"[OCR Fix] ""Bermis"" -> ""Bernis""。法国枢机/外交官。",OCR Fix,0.18,Low_Similarity; 
Bernard Aikema,Bernard Aikema,Person,[Validation] 艺术史学家。,Validation,1.0,
Bernard Le Bovier de Fontenelle,Bernard Le Bovier de Fontenelle,Person,[Validation] 作家。,Validation,1.0,
Bernard Picart,Bernard Picart,Person,[Validation] 版画家。,Validation,1.0,
Bernardine Baccinelli,Bernardino Baccinelli,Person,[Disambiguation] 嘉布遣会修士/总主教。,Disambiguation,0.95,
Bernardino Castelli,Bernardino Castelli,Person,[Validation] 威尼斯肖像画家。,Validation,1.0,
Bernardino Feliciangeli,Bernardino Feliciangeli,Person,[Validation] 历史学家。,Validation,1.0,
Bernardino Gagliardi,Bernardino Gagliardi,Person,[Validation] 画家。,Validation,1.0,
Bernardino Mei,Bernardino Mei,Person,[Validation] 锡耶纳画家。,Validation,1.0,
Bernardo Bellotto,Bernardo Bellotto,Person,[Validation] 维杜塔画家。,Validation,1.0,
Bernardo Bizoni,Bernardo Bizoni,Person,[Validation] 17世纪旅行日记作者 (Giustiniani随从)。,Validation,1.0,
Bernardo Cavallino,Bernardo Cavallino,Person,[Validation] 那不勒斯画家。,Validation,1.0,
Bernardo Sansone Sgrilli,Bernardo Sansone Sgrilli,Person,[Validation] 建筑师/版画家。,Validation,1.0,
Bernardo Strozzi,Bernardo Strozzi,Person,[Validation] 热那亚画家。,Validation,1.0,
Bernardo de' Dominici,Bernardo De Dominici,Person,[Validation] 那不勒斯艺术传记作家。,Validation,0.98,
Bernhard Rode,Bernhard Rode,Person,[Validation] 德国画家。,Validation,1.0,
"Berreguete, Pedro",Pedro Berruguete,Person,"[OCR Fix] ""Berreguete"" -> ""Berruguete""。",OCR Fix,0.55,Low_Similarity; 
"Berrettini, Pietro (Pietro da Cortona)",Pietro da Cortona,Person,[Disambiguation] 皮耶特罗·达·科尔托纳。,Disambiguation,0.62,
"Bianconi, G. L.",Giovanni Ludovico Bianconi,Person,[Disambiguation] 18世纪医生/艺术作家。,Disambiguation,0.39,
Biblioceca Estense,Biblioteca Estense,Place,"[OCR Fix] ""Biblioceca"" -> ""Biblioteca""。",OCR Fix,0.94,
Biblioteca Ambrosiana,Biblioteca Ambrosiana,Place,[Validation] 米兰安布罗修图书馆。,Validation,1.0,
Biblioteca Casanatense,Biblioteca Casanatense,Place,[Validation] 罗马图书馆。,Validation,1.0,
Biblioteca Civica di Padova,Biblioteca Civica di Padova,Place,[Validation] 帕多瓦图书馆。,Validation,1.0,
Biblioteca Correr,Biblioteca del Museo Correr,Place,[Validation] 威尼斯图书馆。,Validation,0.77,
Biblioteca Estense,Biblioteca Estense,Place,[Validation] 摩德纳图书馆。,Validation,1.0,
Biblioteca Govemadva,Biblioteca Governativa,Place,"[OCR Fix] ""Govemadva"" -> ""Governativa"" (可能是克雷莫纳或卢卡的)。",OCR Fix,0.86,
Biblioteca Marucelliana,Biblioteca Marucelliana,Place,[Validation] 佛罗伦萨图书馆。,Validation,1.0,
Biblioteca Medicea Laurenziana,Biblioteca Medicea Laurenziana,Place,[Validation] 佛罗伦萨劳伦佐图书馆。,Validation,1.0,
Biblioteca Nazionale Marciana,Biblioteca Nazionale Marciana,Place,[Validation] 威尼斯圣马可图书馆。,Validation,1.0,
Biblioteca Vallicelliana,Biblioteca Vallicelliana,Place,[Validation] 罗马图书馆。,Validation,1.0,
Biblioteca comunale Ariostea,Biblioteca Comunale Ariostea,Place,[Validation] 费拉拉图书馆。,Validation,1.0,
Biblioteca comunale Augusta,Biblioteca Comunale Augusta,Place,[Validation] 佩鲁贾图书馆。,Validation,1.0,
Biblioteca comunale dell'Archiginnasio,Biblioteca Comunale dell'Archiginnasio,Place,[Validation] 博洛尼亚图书馆。,Validation,1.0,
Bibliothèque Mazarine,Bibliothèque Mazarine,Place,[Validation] 巴黎马萨林图书馆。,Validation,1.0,
"Biffi, Giambattista",Giambattista Biffi,Person,[Reconstruction] 18世纪克雷莫纳作家。,Reconstruction,0.65,
"Bingley, Lord","Robert Benson, 1st Baron Bingley",Person,[Disambiguation] 英国贵族 (Yorkshire)。,Disambiguation,0.31,
Birmingham Museum and Art Gallery,Birmingham Museum and Art Gallery,Place,[Validation] 博物馆。,Validation,1.0,
Bishop Harold von Hocheim being invested with the princedom by the Emperor in 1163,Bishop Harold von Hocheim Investiture,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。,Validation,0.59,Low_Similarity; 
Blainville,Monsieur de Blainville,Person,[Disambiguation] 旅行家 (著有Travels)。,Disambiguation,0.62,
"Blainville, Monsieur de",Monsieur de Blainville,Person,[Validation] 同上。,Validation,0.49,Low_Similarity; 
Blessed Felice da Cantalice,Felice da Cantalice,Person,[Validation] 圣徒。,Validation,0.83,
"Boccage, Mme de",Anne-Marie du Boccage,Person,[Disambiguation] 法国女作家。,Disambiguation,0.39,
Bologna,Bologna,Place,[Validation] 城市。,Validation,1.0,
Bombelli Sebastiano,Sebastiano Bombelli,Person,[Reconstruction] 威尼斯肖像画家。,Reconstruction,0.53,Low_Similarity; 
"Bonati, Giovanni",Giovanni Bonatti,Person,"[OCR Fix] ""Bonati"" -> ""Bonatti"" (费拉拉画家)。",OCR Fix,0.5,Low_Similarity; 
"Boncampagni, Ugo (Pope Gregory XIII)",Gregory XIII,Person,[Disambiguation] 教皇格里高利十三世。,Disambiguation,0.5,
Bonfiglioli collection,Bonfiglioli Collection,Organization/Group,[Validation] 博洛尼亚艺术收藏。,Validation,1.0,
"Boni, Giacomo Antonio",Giacomo Boni,Person,[Disambiguation] 博洛尼亚画家。,Disambiguation,0.67,
Bonifazio Gozzadini,Bonifazio Gozzadini,Person,[Validation] 历史人物。,Validation,1.0,
Book illustration,Book illustration,Concept,[Validation] 艺术形式。,Validation,1.0,
Borghese Palace,Palazzo Borghese,Place,[Validation] 罗马宫殿。,Validation,0.52,Low_Similarity; 
"Borghese, Camillo (Pope Paul V)",Paul V,Person,[Disambiguation] 教皇保罗五世。,Disambiguation,0.32,
Borgo Santo Spirito,Borgo Santo Spirito,Place,[Validation] 罗马街道。,Validation,1.0,
"Borgognone, Giacomo (Jacques Courtois)",Jacques Courtois (Il Borgognone),Person,[Disambiguation] 雅克·库尔图瓦 (战斗画家)。,Disambiguation,0.49,
"Borgognone, Guglielmo (Guillaume Courtois)",Guillaume Courtois (Il Borgognone),Person,[Disambiguation] 纪尧姆·库尔图瓦。,Disambiguation,0.5,
"Boscarati, Felice",Felice Boscarati,Person,[Reconstruction] 维罗纳画家。,Reconstruction,0.55,Low_Similarity; 
"Boscovich, P.",Roger Joseph Boscovich (Ruđer Bošković),Person,[Disambiguation] 耶稣会科学家/多面手。,Disambiguation,0.38,
"Bossuet, Jacques-Bénigne",Jacques-Bénigne Bossuet,Person,[Reconstruction] 法国主教/布道家。,Reconstruction,0.64,
"Bottari, Giovanni",Giovanni Gaetano Bottari,Person,[Disambiguation] 罗马学者/图书管理员。,Disambiguation,0.39,
"Bouchardon, Edmé",Edmé Bouchardon,Person,[Reconstruction] 法国雕塑家。,Reconstruction,0.65,
"Boucher, François",François Boucher,Person,[Reconstruction] 法国洛可可画家。,Reconstruction,0.48,Low_Similarity; 
Bowes Museum,Bowes Museum,Place,[Validation] 英国博物馆。,Validation,1.0,
Boyle/Locke/Sydenham,"Boyle, Locke, and Sydenham",Group,[Validation] 英国科学家/医生群体 (作为半身像或画像组合)。,Validation,0.78,
"Bracci, Pietro",Pietro Bracci,Person,[Reconstruction] 罗马巴洛克雕塑家。,Reconstruction,0.44,Low_Similarity; 
Bracciano,Bracciano,Place,[Validation] 地名 (Orsini领地)。,Validation,1.0,
"Bracciano, Duke of",Paolo Giordano Orsini,Person,[Context] 通常指 Orsini 公爵 (需视具体年代)。,Context,0.31,Low_Similarity; 
"Bracciano, Paolo Giordano I Orsini, Duke of",Paolo Giordano I Orsini,Person,[Reconstruction] 第一代布拉恰诺公爵。,Reconstruction,0.7,
"Bracciano, Paolo Giordona II Orsini, Duke of",Paolo Giordano II Orsini,Person,"[OCR Fix] ""Giordona"" -> ""Giordano""。",OCR Fix,0.65,
"Bramante, Donato",Donato Bramante,Person,[Reconstruction] 建筑师。,Reconstruction,0.52,Low_Similarity; 
Bramantino,Bramantino,Person,[Validation] 米兰画家。,Validation,1.0,
"Bramer, Leonard",Leonaert Bramer,Person,[Disambiguation] 荷兰画家。,Disambiguation,0.4,
"Brand, Johannes Christian",Johann Christian Brand,Person,[Disambiguation] 奥地利风景画家。,Disambiguation,0.68,
Brenta,Brenta River,Place,[Validation] 河流 (威尼斯别墅区)。,Validation,0.67,
Brera,Brera,Place,[Validation] 米兰布雷拉区/美术馆。,Validation,1.0,
Brera Academy,Accademia di Belle Arti di Brera,Organization,[Validation] 布雷拉美术学院。,Validation,0.22,Low_Similarity; 
"Breughel, Abram",Abraham Brueghel,Person,[Disambiguation] 佛兰芒静物画家。,Disambiguation,0.45,
"Breughel, Velvet",Jan Brueghel the Elder,Person,"[Disambiguation] 绰号 ""Velvet Brueghel"" (绒毛布鲁盖尔)。",Disambiguation,0.58,
"Breuil, Toussaint du",Toussaint Dubreuil,Person,[Reconstruction] 法国枫丹白露画派画家。,Reconstruction,0.63,
"Breval, John",John Breval,Person,[Reconstruction] 英国作家/旅行家。,Reconstruction,0.52,Low_Similarity; 
"Brienne, Lomenie de",Loménie de Brienne (Count),Person,[Disambiguation] 可能是 Henri-Auguste de Loménie (路易十四时期) 或 Étienne Charles de Loménie de Brienne (18世纪)。倾向于 Henri-Auguste (游记作者)。,Disambiguation,0.44,
British Isles,British Isles,Place,[Validation] 地理区域。,Validation,1.0,
British Museum,British Museum,Place,[Validation] 大英博物馆。,Validation,1.0,
Bronze Baldachin of St. Peter's Basilica,St. Peter's Baldachin,Work,[Validation] 贝尼尼青铜华盖。,Validation,0.49,Low_Similarity; 
"Brosses, Président Charles De",Charles de Brosses,Person,[Reconstruction] 法国作家 (Lettres familières)。,Reconstruction,0.43,Low_Similarity; 
Bruce Boucher,Bruce Boucher,Person,[Validation] 艺术史学家。,Validation,1.0,
"Brugiori, Domenico",Domenico Brugieri,Person,[OCR Fix] 卢卡画家 (Domenico Brugieri/Brugieri)。,OCR Fix,0.46,Low_Similarity; 
Bruno Brunelli,Bruno Brunelli,Person,[Validation] 历史学家 (威尼斯剧院史)。,Validation,1.0,
Bruno Talbot,Bruno Talbot,Person,[Check Original] 极罕见。可能指 17世纪英国人 (Talbot family) 或误拼。待定。,Check Original,1.0,
"Brusasorci, Felice",Felice Brusasorzi,Person,[Disambiguation] 维罗纳画家。,Disambiguation,0.51,
Brutus killing Arruns,Brutus killing Arruns,Work,[Validation] 绘画主题。,Validation,1.0,
"Brydges, Grey","Grey Brydges, 5th Baron Chandos",Person,"[Disambiguation] ""King of the Cotswolds""。",Disambiguation,0.45,
"Brühl, Count",Heinrich von Brühl,Person,[Disambiguation] 萨克森首相/收藏家。,Disambiguation,0.33,
Buckingham Palace,Buckingham Palace,Place,[Validation] 伦敦宫殿。,Validation,1.0,
"Buckingham, Charles Villiers, Duke of","George Villiers, 1st Duke of Buckingham",Person,"[Correction] Charles Villiers 是第二代公爵的儿子? 通常指 George Villiers (1st) 或 George Villiers (2nd). 如果原文明确写 ""Charles"", 可能是混淆。历史著名的白金汉公爵是 George。此处标注 [Check Context]。",Correction,0.55,Low_Similarity; 
"Buckingham, John Sheffield, Duke of","John Sheffield, 1st Duke of Buckingham and Normanby",Person,[Full Name] 诗人/政治家。,Full Name,0.53,Low_Similarity; 
Buen Retiro Palace,Buen Retiro Palace,Place,[Validation] 马德里宫殿。,Validation,1.0,
Bulstrode Park,Bulstrode Park,Place,[Validation] 英国庄园 (Portland公爵)。,Validation,1.0,
Burghley House,Burghley House,Place,[Validation] 英国庄园。,Validation,1.0,
Burgundy,Burgundy,Place,[Validation] 地名。,Validation,1.0,
"Burlington, Lord","Richard Boyle, 3rd Earl of Burlington",Person,[Disambiguation] 建筑赞助人 (Palladianism)。,Disambiguation,0.38,
Bust of Carlo Antonio del Pozzo,Bust of Carlo Antonio del Pozzo,Work,[Validation] 雕塑。,Validation,1.0,
Bust of Democritus,Bust of Democritus,Work,[Validation] 雕塑主题。,Validation,1.0,
Bust of Epicurus,Bust of Epicurus,Work,[Validation] 雕塑主题。,Validation,1.0,
Bust of Francis Bacon,Bust of Francis Bacon,Work,[Validation] 雕塑 (Roubiliac等)。,Validation,1.0,
Bust of Louis XIV,Bust of Louis XIV,Work,[Validation] 雕塑 (贝尼尼)。,Validation,1.0,
Bust of Paolo Renier,Bust of Paolo Renier,Work,[Validation] 雕塑。,Validation,1.0,
Bust of Phocion,Bust of Phocion,Work,[Validation] 雕塑主题。,Validation,1.0,
Bust of Thomas Baker,Bust of Thomas Baker,Work,[Validation] 雕塑 (贝尼尼)。,Validation,1.0,
"Byng, Admiral",John Byng (Admiral),Person,[Disambiguation] 英国海军上将。,Disambiguation,0.75,
Ca' Foscari,Ca' Foscari,Place,[Validation] 威尼斯宫殿/大学。,Validation,1.0,
Ca' Foscari University of Venice,Ca' Foscari University of Venice,Organization,[Validation] 大学。,Validation,1.0,
Ca' Pesaro,Ca' Pesaro,Place,[Validation] 威尼斯宫殿/博物馆。,Validation,1.0,
Ca' Rezzonico,Ca' Rezzonico,Place,[Validation] 威尼斯宫殿/博物馆。,Validation,1.0,
Ca' Sagredo,Ca' Sagredo,Place,[Validation] 威尼斯宫殿。,Validation,1.0,
Ca' Vendramin Calergi,Ca' Vendramin Calergi,Place,[Validation] 威尼斯宫殿 (Wagner Museum/Casino)。,Validation,1.0,
"Cadani, Stefano",Stefano Cadani,Person,"[Check Original] 极生僻，可能是 ""Stefano Catani"" (画家) 或 ""Cadani"" 为误植。待确认，暂保留原拼写或修正为 Catani。建议：Stefano Catani。",Check Original,0.48,Low_Similarity; 
Cadogan,"William Cadogan, 1st Earl Cadogan",Person,[Disambiguation] 将军/外交官。,Disambiguation,0.35,
Caesar Augustus,Augustus,Person,[Disambiguation] 罗马皇帝奥古斯都。,Disambiguation,0.7,
Caesar Baronius,Caesar Baronius,Person,[Validation] 枢机/历史学家。,Validation,1.0,
Caesar Giving Cleopatra the Throne of Egypt,Caesar Giving Cleopatra the Throne of Egypt,Work,[Validation] 绘画主题 (Pietro da Cortona)。,Validation,1.0,
Caesar and the Corsairs of Cilicia,Caesar and the Corsairs of Cilicia,Work,[Validation] 绘画主题。,Validation,1.0,
Caiano Ferdinand,Ferdinando Caiano,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.55,Low_Similarity; 
Caime,Caime (Artist/Person),Person,"[Check Original] 可能是 ""Caimi"" (Antonio Caimi, 艺术史家) 或误拼。",Check Original,0.38,Low_Similarity; 
Cain and Abel,Cain and Abel,Work,[Validation] 绘画主题 (提香/Tintoretto等)。,Validation,1.0,
Calabrian national church,San Francesco di Paola ai Monti,Place,[Disambiguation] 罗马的卡拉布里亚人教堂。,Disambiguation,0.25,
Cambridgeshire,Cambridgeshire,Place,[Validation] 地名。,Validation,1.0,
"Camerata, Giuseppe",Giuseppe Camerata,Person,[Validation] 威尼斯画家/版画家。,Validation,0.46,Low_Similarity; 
"Camerino, Giovanni Angelo da",Giovanni Angelo da Camerino,Person,[Validation] 画家。,Validation,0.65,
Camille Delivers the Schoolmaster of Falerii to His Pupils,Camille Delivers the Schoolmaster of Falerii to His Pupils,Work,[Validation] 普桑画作。,Validation,1.0,
Camillo Astalli,Camillo Astalli,Person,[Validation] 枢机主教。,Validation,1.0,
Camillo Borghese,Paul V (Camillo Borghese),Person,[Disambiguation] 教皇保罗五世。,Disambiguation,0.78,
Camillo Francesco Maria Pamphili,Camillo Francesco Maria Pamphili,Person,[Validation] 枢机/亲王。,Validation,1.0,
Camillo Gavassetti,Camillo Gavassetti,Person,[Validation] 莫德纳画家。,Validation,1.0,
Camillo Rospigliosi,Camillo Rospigliosi,Person,[Validation] 贵族 (Rospigliosi家族)。,Validation,1.0,
Campagna,Campagna (Countryside) / Girolamo Campagna,Place/Person,"[Ambiguity] ""Campagna"" 通常指罗马郊区 (Roman Campagna)，但也可能是威尼斯雕塑家 Girolamo Campagna。需视上下文。若在 Place 列，则为地名。",Ambiguity,0.32,Low_Similarity; 
Campania,Campania,Place,[Validation] 意大利大区。,Validation,1.0,
Campo Marzio,Campo Marzio,Place,[Validation] 罗马区域 (Campus Martius)。,Validation,1.0,
Campo Santa Sofia,Campo Santa Sofia,Place,[Validation] 威尼斯广场。,Validation,1.0,
Campo di Rialto,Campo di Rialto,Place,[Validation] 威尼斯广场。,Validation,1.0,
Campo santo,Camposanto,Place,[Validation] 墓地。,Validation,0.95,
"Canal, Gerolamo",Gerolamo Canal,Person,[Validation] 威尼斯贵族。,Validation,0.55,Low_Similarity; 
"Canale, Procuratore",Procuratore Canale,Person,[Validation] 官衔+姓氏。,Validation,0.59,Low_Similarity; 
Canaletto,Canaletto,Person,[Validation] 著名画家。,Validation,1.0,
Candiani,Candiani (Family/Artist),Person,[Context] 可能是 Giuseppe Candiani (画家) 或家族。,Context,0.5,Low_Similarity; 
Cannaregio,Cannaregio,Place,[Validation] 威尼斯区域。,Validation,1.0,
Canons (Duke of Chandos),Cannons (House),Place,"[OCR Fix] ""Canons"" -> ""Cannons"" (Chandos公爵的豪宅)。",OCR Fix,0.56,Low_Similarity; 
Canons Ashby House,Canons Ashby House,Place,[Validation] 英国庄园。,Validation,1.0,
Canossa,Canossa,Place,[Validation] 地名 (Matilda of Tuscany)。,Validation,1.0,
Capitol Records,Capitol Records,Organization/Place,"[Context] 现代唱片公司 (可能是现代索引混入或 OCR 错误识别 ""Capitol"" 罗马相关词条)。若是古代背景，则是错误。若是现代引用，保留。建议检查是否为 ""Capitol (Rome)"" 的误读。倾向于 OCR 错误，但暂保留。",Context,1.0,
Capitoline Museums,Capitoline Museums,Place,[Validation] 罗马博物馆。,Validation,1.0,
Cappella Colleoni,Cappella Colleoni,Place,[Validation] 贝加莫礼拜堂。,Validation,1.0,
Cappella della Purità,Cappella della Purità,Place,[Validation]那不勒斯礼拜堂。,Validation,1.0,
"Caprara, Marshal",Enea Silvio Caprara,Person,[Disambiguation] 奥地利元帅。,Disambiguation,0.4,
Caprizi Copiosi di Figure,Capricci Copiosi di Figure,Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。",OCR Fix,0.94,
Capuchin church in Rome,Santa Maria della Concezione dei Cappuccini,Place,[Disambiguation] 罗马嘉布遣会教堂。,Disambiguation,0.24,
Capuchins,Capuchins,Group,[Validation] 嘉布遣会。,Validation,1.0,
"Caraboli, Giacomo",Giacomo Caraboli,Person,"[Reconstruction] 可能是 ""Giacomo Ceruti"" 的误读，或者极生僻人物。",Reconstruction,0.48,Low_Similarity; 
"Carandini, Count Camillo",Camillo Carandini,Person,[Validation] 贵族。,Validation,0.44,Low_Similarity; 
"Carandini, Marchesa Elisa",Elisa Carandini,Person,[Category Fix] 原文误标为 Work。,Category Fix,0.45,Low_Similarity; 
"Caravaggio, Michelangelo da",Caravaggio,Person,[Disambiguation] 卡拉瓦乔。,Disambiguation,0.54,
Carcassonne,Carcassonne,Place,[Validation] 地名。,Validation,1.0,
Cardinal Antonio Barberini,Antonio Barberini,Person,[Category Fix] 原文误标为 Work。,Category Fix,0.79,
Cardinal Bentivoglio,Guido Bentivoglio,Person,[Category Fix] 原文误标为 Work。通常指 Guido Bentivoglio 枢机 (凡戴克肖像)。,Category Fix,0.7,
Cardinal Francesco Barberini,Francesco Barberini,Person,[Category Fix] 原文误标为 Work。,Category Fix,0.81,
Cardinal Mazarin in His Gallery,Cardinal Mazarin in His Gallery,Work,[Validation] 绘画主题。,Validation,1.0,
Cardinal Scipione Borghese,Scipione Borghese,Person,[Category Fix] 原文误标为 Work。,Category Fix,0.79,
Caricature of Cassiano dal Pozzo,Caricature of Cassiano dal Pozzo,Work,[Validation] 绘画/素描。,Validation,1.0,
Carinthia,Carinthia,Place,[Validation] 地名。,Validation,1.0,
Carita,Scuola Grande dei Carmini / Carità?,Place,"[Ambiguity] ""Carita"" 可能是 ""Santa Maria della Carità"" (威尼斯学院美术馆前身)。",Ambiguity,0.24,Low_Similarity; 
Carita Romana,Roman Charity (Caritas Romana),Work,[Disambiguation] 罗马慈悲 (绘画主题)。,Disambiguation,0.6,
Carità,Santa Maria della Carità,Place,[Validation] 威尼斯建筑。,Validation,0.4,Low_Similarity; 
